AssetName,VegType,Region,CO2Emissions,WaterUse,LandUse,Carbon_ESI,Water_ESI,Land_ESI,Total_ESI
Unki,warm climate grassland,Africa,3.50E+05,4.78E+03,7.99E+00,9.79E-07,1.52E-07,9.22E-08,1.22E-06
Mototolo,warm climate grassland,Africa,3.99E+05,5.46E+03,4.30E+00,1.12E-06,1.73E-07,4.96E-08,1.34E-06
Los Bronces,cool climate grassland,South America,8.78E+05,2.00E+04,3.25E+01,2.46E-06,3.50E-06,1.47E-06,7.43E-06
El Soldado,cool climate grassland,South America,1.17E+05,2.69E+03,1.23E+01,3.29E-07,4.71E-07,5.56E-07,1.36E-06
Chagres Smel,bare,South America,64695.05354,9.21E+02,0.00E+00,1.81E-07,#N/A,#N/A,#N/A
Venetia,warm climate grassland,Africa,157603.8123,1.64E+03,2.25E+01,4.41E-07,5.19E-08,2.60E-07,7.53E-07
Gahcho Kué,cool climate grassland,North America,2.72E+05,2.83E+03,7.81E+00,7.63E-07,3.65E-08,6.53E-08,8.65E-07
Codemin,tropical forest,South America,2.17E+05,1.33E+03,4.16E+00,6.07E-07,0.00E+00,2.75E-07,8.82E-07
Barro Alto,tropical forest,South America,1.03E+06,6.99E+03,1.37E+01,2.89E-06,0.00E+00,9.01E-07,3.79E-06
Loulo-Gounko,warm climate grassland,Africa,3.69E+05,9.11E+03,1.11E+01,1.03E-06,2.89E-07,1.29E-07,1.45E-06
Morila,warm climate grassland,Africa,5.02E+04,5.50E+03,1.11E+01,1.41E-07,1.74E-07,1.28E-07,4.42E-07
Tongon,tropical forest,Africa,1.59E+05,1.81E+03,7.87E+00,4.45E-07,5.34E-09,3.64E-07,8.14E-07
Kibali (oper,tropical forest,Africa,1.15E+05,0.00E+00,1.10E+01,3.21E-07,0.00E+00,5.09E-07,8.30E-07
Jabal Sayid ,bare,Asia,1.00E+05,1.29E+03,3.56E+00,2.80E-07,#N/A,#N/A,#N/A
Bulyanhulu (,tropical forest,Africa,3.95E+04,2.21E+03,3.73E+00,1.11E-07,6.50E-09,1.72E-07,2.90E-07
Buzwagi (no ,tropical forest,Africa,52172,4.21E+03,8.92E+00,1.46E-07,1.24E-08,4.12E-07,5.70E-07
North Mara (,tropical forest,Africa,1.32E+05,7.16E+03,3.81E+00,3.69E-07,2.11E-08,1.76E-07,5.66E-07
Lumwana (no ,tropical forest,Africa,2.59E+05,0.00E+00,8.54E+01,7.24E-07,0.00E+00,3.95E-06,4.67E-06
Veladero (no,bare,South America,2.57E+05,1.45E+03,2.81E+01,7.21E-07,#N/A,#N/A,#N/A
Pueblo Viejo,tropical forest,South America,1.92E+06,1.93E+04,1.21E+01,5.37E-06,0.00E+00,7.97E-07,6.17E-06
Lagunas Nort,temperate forest,South America,37091,7.81E+02,1.08E+01,1.04E-07,0,5.20E-07,6.24E-07
Pierina,temperate forest,South America,1.25E+04,6.03E+02,8.62E+00,3.49E-08,0.00E+00,4.16E-07,4.50E-07
Porgera (ope,tropical forest,Oceania,1.95E+05,0.00E+00,8.92E+00,5.45E-07,0.00E+00,0.00E+00,5.45E-07
Hemlo (no in,boreal forest,North America,3.69E+04,1.49E+03,1.01E+01,1.03E-07,0.00E+00,1.42E-07,2.45E-07
Golden Sunli,cool climate grassland,North America,5.91E+03,2.40E+02,7.95E+00,1.65E-08,3.10E-09,6.65E-08,8.61E-08
Carlin South,cool climate grassland,North America,6.07E+05,8.45E+03,3.94E+01,1.70E-06,1.09E-07,3.29E-07,2.14E-06
Carlin North,cool climate grassland,North America,8.25E+05,1.22E+04,8.48E+01,2.31E-06,1.57E-07,7.09E-07,3.17E-06
Cortez*,cool climate grassland,North America,4.01E+05,3.55E+03,4.55E+01,1.12E-06,4.58E-08,3.80E-07,1.55E-06
Lone Tree*,cool climate grassland,North America,4.37E+03,2.92E+02,1.33E+01,1.22E-08,3.77E-09,1.11E-07,1.27E-07
Long Canyon*,cool climate grassland,North America,5.34E+04,6.82E+02,5.32E+00,1.49E-07,8.80E-09,4.44E-08,2.03E-07
Phoenix*,cool climate grassland,North America,1.91E+05,7.10E+03,2.62E+01,5.36E-07,9.16E-08,2.19E-07,8.46E-07
Twin Creeks ,cool climate grassland,North America,2.98E+05,6.95E+03,3.33E+01,8.35E-07,8.97E-08,2.79E-07,1.20E-06
Turquoise Ri,cool climate grassland,North America,4.45E+04,1.41E+03,1.19E+01,1.25E-07,1.81E-08,9.94E-08,2.42E-07
Bagdad,cool climate grassland,North America,4.02E+05,1.12E+04,4.43E+01,1.13E-06,1.44E-07,3.71E-07,1.64E-06
Morenci,cool climate grassland,North America,1.58E+06,5.07E+04,1.02E+02,4.42E-06,6.54E-07,8.53E-07,5.92E-06
Safford / Lo,cool climate grassland,North America,3.64E+05,8.32E+03,3.72E+01,1.02E-06,1.07E-07,3.11E-07,1.44E-06
Sierrita,cool climate grassland,North America,5.28E+05,9.19E+03,9.94E+01,1.48E-06,1.19E-07,8.31E-07,2.43E-06
Tyrone,cool climate grassland,North America,1.22E+05,2.32E+03,5.30E+01,3.42E-07,3.00E-08,4.43E-07,8.15E-07
Chino / Cobr,cool climate grassland,North America,1.54E+05,4.75E+03,3.69E+01,4.31E-07,6.13E-08,3.08E-07,8.00E-07
"Miami Mine, ",cool climate grassland,North America,3.06E+05,1.02E+04,3.89E+01,8.57E-07,1.31E-07,3.25E-07,1.31E-06
Henderson,cool climate grassland,North America,1.21E+05,2.91E+03,3.95E+00,3.38E-07,3.75E-08,3.30E-08,4.09E-07
Climax,cool climate grassland,North America,1.01E+05,4.07E+03,3.04E+01,2.82E-07,5.25E-08,2.54E-07,5.89E-07
El Abra,bare,South America,3.05E+05,7.74E+03,5.96E+01,8.53E-07,#N/A,#N/A,#N/A
Cerro Verde,bare,South America,7.95E+05,4.00E+04,5.60E+01,2.23E-06,#N/A,#N/A,#N/A
PT-FI (Grasb,tropical forest,Asia,2034939,4.44E+04,2.82E+01,5.70E-06,0,3.22E-06,8.92E-06
Lihir,bare,Oceania,735651,5.42E+04,7.59E+00,2.06E-06,#N/A,#N/A,#N/A
Telfer,bare,Australia,4.93E+05,1.45E+04,4.82E+01,1.38E-06,#N/A,#N/A,#N/A
Cadia,temperate forest,Australia,961149,1.37E+04,1.64E+01,2.69E-06,1.85E-06,2.20E-07,4.76E-06
"Ahafo, Ghana",tropical forest,Africa,207666.5,7.19E+03,2.47E+01,5.81E-07,2.12E-08,1.14E-06,1.74E-06
"Akyem, Ghana",tropical forest,Africa,1.29E+05,9.49E+03,1.15E+01,3.60E-07,2.80E-08,5.30E-07,9.18E-07
"CC&V, Colora",boreal forest,North America,1.99E+05,2.13E+03,1.29E+01,5.57E-07,0.00E+00,1.80E-07,7.38E-07
"Éléonore, Qu",boreal forest,North America,2.45E+04,8.04E+02,4.51E+00,6.86E-08,0.00E+00,6.30E-08,1.32E-07
"Musselwhite,",boreal forest,North America,3.94E+04,7.60E+01,3.23E+00,1.10E-07,0.00E+00,4.51E-08,1.55E-07
"Porcupine, C",boreal forest,North America,6.93E+04,5.01E+03,2.54E+01,1.94E-07,0.00E+00,3.54E-07,5.48E-07
"Peñasquito, ",cool climate grassland,North America,8.99E+05,2.61E+04,2.73E+00,2.52E-06,3.36E-07,2.28E-08,2.88E-06
"Cerro Negro,",cool climate grassland,South America,4.13E+04,5.74E+02,4.78E+00,1.16E-07,1.00E-07,2.16E-07,4.32E-07
"Merian, Suri",tropical forest,South America,2.72E+05,1.36E+04,1.36E+01,7.63E-07,0.00E+00,9.01E-07,1.66E-06
"Yanacocha, P",temperate forest,South America,2.37E+05,1.22E+04,4.46E+01,6.64E-07,0.00E+00,2.15E-06,2.81E-06
"Boddington, ",temperate forest,Australia,1.16E+06,2.07E+04,4.27E+01,3.24E-06,2.80E-06,5.74E-07,6.61E-06
"Tanami, Aust",bare,Australia,1.80E+05,3.66E+03,1.56E+01,5.04E-07,#N/A,#N/A,#N/A
OLIMPIADA,boreal forest,Asia,9.31E+05,3.20E+03,2.73E+01,2.61E-06,4.19E-08,2.93E-07,2.94E-06
BLAGODATNOYE,boreal forest,Asia,3.54E+05,1.21E+03,1.53E+01,9.90E-07,1.59E-08,1.64E-07,1.17E-06
VERNINSKOYE,boreal forest,Asia,112000,7.72E+02,8.48E+01,3.14E-07,1.01E-08,9.09E-07,1.23E-06
ALLUVIALS,boreal forest,Asia,8.40E+04,1.56E+03,2.59E+01,2.35E-07,2.05E-08,2.77E-07,5.33E-07
KURANAKH,boreal forest,Asia,2.71E+05,5.88E+03,4.93E+01,7.59E-07,7.71E-08,5.29E-07,1.36E-06
NATALKA,cool climate grassland,Asia,1.62E+05,1.73E+03,4.24E+01,4.54E-07,1.03E-08,2.03E-07,6.67E-07
Tiwai Point ,temperate forest,Oceania,2.67E+06,1.00E+03,4.23E+00,7.48E-06,7.92E-08,9.23E-07,8.48E-06
Bell Bay sme,temperate forest,Oceania,1.54E+06,3.33E+02,4.23E+00,4.32E-06,2.63E-08,9.23E-07,5.27E-06
Boyne Island,tropical forest,Australia,4.09E+06,8.81E+02,1.46E+01,1.14E-05,2.30E-09,3.07E-20,1.14E-05
Weipa mine -,tropical forest,Australia,5.83E+04,2.82E+04,3.71E+02,1.63E-07,7.37E-08,7.78E-19,2.37E-07
Gove mine - ,tropical forest,Australia,2.05E+04,9.92E+03,4.19E+01,5.73E-08,2.59E-08,8.79E-20,8.32E-08
Yarwun refin,tropical forest,Australia,3.02E+06,1.06E+04,3.19E+00,8.46E-06,2.77E-08,6.70E-21,8.49E-06
Jonquière (V,boreal forest,North America,6.08E+05,4.30E+03,4.23E+00,1.70E-06,0.00E+00,5.91E-08,1.76E-06
Alma smelter,boreal forest,North America,5.41E+05,6.94E+02,4.23E+00,1.52E-06,0.00E+00,5.91E-08,1.57E-06
Alouette (Se,boreal forest,North America,7.12E+05,9.13E+02,2.82E+00,1.99E-06,0.00E+00,3.93E-08,2.03E-06
Arvida smelt,boreal forest,North America,1.93E+05,2.48E+02,2.47E+00,5.41E-07,0.00E+00,3.45E-08,5.75E-07
Arvida AP60 ,boreal forest,North America,6.81E+04,8.73E+01,4.23E+00,1.91E-07,0.00E+00,5.91E-08,2.50E-07
Bécancour sm,boreal forest,North America,4.49E+05,5.76E+02,4.23E+00,1.26E-06,0.00E+00,5.91E-08,1.32E-06
Grande-Baie ,boreal forest,North America,2.58E+05,3.30E+02,4.23E+00,7.22E-07,0.00E+00,5.91E-08,7.81E-07
Kitimat smel,boreal forest,North America,3.76E+05,4.82E+02,3.98E+00,1.05E-06,0.00E+00,5.55E-08,1.11E-06
Laterrière s,boreal forest,North America,2.85E+05,3.66E+02,4.23E+00,7.99E-07,0.00E+00,5.91E-08,8.58E-07
ISAL (Reykja,boreal forest,Europe,2.10E+05,9.00E+03,4.23E+00,5.87E-07,0.00E+00,2.70E-07,8.57E-07
Bingham Cany,cool climate grassland,North America,7.75E+05,3.00E+04,8.93E+01,2.17E-06,3.87E-07,7.47E-07,3.30E-06
Oyu Tolgoi m,bare,Asia,6.07E+05,1.50E+04,3.03E+01,1.70E-06,#N/A,#N/A,#N/A
Argyle Diamo,warm climate grassland,Australia,9.04E+05,1.00E+04,2.03E+01,2.53E-06,2.36E-07,5.43E-07,3.31E-06
Diavik Diamo,cool climate grassland,North America,5.14E+05,1.00E+03,2.61E+01,1.44E-06,1.29E-08,2.18E-07,1.67E-06
Dampier Salt,bare,Australia,10868.91636,1.31E+05,1.22E+02,3.04E-08,#N/A,#N/A,#N/A
Dampier Salt,bare,Australia,1.62E+04,1.96E+05,1.83E+02,4.54E-08,#N/A,#N/A,#N/A
Dampier Salt,bare,Australia,2.44E+03,2.95E+04,2.75E+01,6.83E-09,#N/A,#N/A,#N/A
Hamersley mi,warm climate grassland,Australia,2256211.686,5.75E+04,2.56E+02,6.32E-06,1.36E-06,6.86E-06,1.45E-05
Hamersley - ,warm climate grassland,Australia,98258.58947,2.50E+03,3.14E+01,2.75E-07,5.91E-08,8.41E-07,1.17E-06
Hope Downs,warm climate grassland,Australia,525227.1098,1.34E+04,8.01E+01,1.47E-06,3.16E-07,2.15E-06,3.93E-06
Mesas J - Ro,warm climate grassland,Australia,1.50E+05,3.81E+03,3.71E+01,4.19E-07,8.99E-08,9.94E-07,1.50E-06
Mesas A - Ro,warm climate grassland,Australia,1.75E+05,4.46E+03,4.34E+01,4.90E-07,1.05E-07,1.16E-06,1.76E-06
Robe River -,warm climate grassland,Australia,3.66E+05,9.34E+03,5.40E+01,1.03E-06,2.20E-07,1.45E-06,2.69E-06
US Borates,cool climate grassland,North America,8.15E+05,4.00E+03,4.18E+01,2.28E-06,5.16E-08,3.49E-07,2.68E-06
Lac Tio - Ri,boreal forest,North America,1.30E+05,0.00E+00,2.87E+00,3.65E-07,0.00E+00,4.01E-08,4.05E-07
Havre-Saint-,boreal forest,North America,1.92E+05,0.00E+00,4.23E+00,5.38E-07,0.00E+00,5.91E-08,5.97E-07
Richard Bay ,tropical forest,Africa,2.05E+06,1.05E+04,4.53E+01,5.75E-06,3.09E-08,2.09E-06,7.88E-06
QIT Madagasc,tropical forest,Africa,4.97E+05,2.53E+03,1.10E+01,1.39E-06,7.47E-09,5.06E-07,1.90E-06
Iron Ore Com,boreal forest,North America,7.50E+05,4.00E+03,4.96E+01,2.10E-06,0.00E+00,6.93E-07,2.79E-06
Ranger mine ,tropical forest,Australia,1.62E+05,6.00E+03,1.29E+01,4.53E-07,1.57E-08,2.72E-20,4.68E-07
Toquepala,bare,South America,4.29E+05,2.72E+04,5.02E+01,1.20E-06,#N/A,#N/A,#N/A
Ilo,bare,South America,2.53E+05,6.63E+03,4.49E+00,7.07E-07,#N/A,#N/A,#N/A
Cuajone,bare,South America,2.99E+05,1.78E+04,4.34E+01,8.38E-07,#N/A,#N/A,#N/A
Caridad ,warm climate grassland,North America,447892.4867,2.26E+04,1.49E+01,1.25E-06,1.72E-05,9.86E-07,1.94E-05
Buenavista,warm climate grassland,North America,621889.8683,3.37E+04,1.16E+02,1.74E-06,2.57E-05,7.67E-06,3.51E-05
Charcas,cool climate grassland,North America,94497.88403,2.19E+03,2.55E+00,2.65E-07,2.83E-08,2.13E-08,3.14E-07
San Martin,cool climate grassland,North America,6.27E+04,1.45E+03,1.69E+00,1.75E-07,1.88E-08,1.41E-08,2.08E-07
Santa Barbar,cool climate grassland,North America,8.73E+03,2.02E+02,2.35E-01,2.44E-08,2.61E-09,1.97E-09,2.90E-08
Santa Eulali,cool climate grassland,North America,1.27E+04,2.95E+02,3.42E-01,3.56E-08,3.80E-09,2.86E-09,4.22E-08
Taxco,tropical forest,North America,1.49E+04,3.46E+02,4.02E-01,4.17E-08,1.38E-09,9.40E-08,1.37E-07
Highland Val,cool climate grassland,North America,2.41E+05,1.10E+04,1.29E+02,6.76E-07,1.42E-07,1.08E-06,1.90E-06
Carmen de An,bare,South America,1.41E+05,9.24E+03,2.24E+01,3.95E-07,#N/A,#N/A,#N/A
Quebrada Bla,cool climate grassland,South America,3.87E+04,2.73E+03,1.87E+01,1.08E-07,4.78E-07,8.46E-07,1.43E-06
Red Dog,bare,North America,2.35E+05,8.50E+03,9.66E+00,6.58E-07,#N/A,#N/A,#N/A
Trail Operat,boreal forest,North America,366306.7366,6.18E+03,4.33E+00,1.03E-06,0,6.04E-08,1.09E-06
Elkview,boreal forest,North America,9.38E+05,6.58E+03,4.14E+01,2.63E-06,0.00E+00,5.78E-07,3.20E-06
Fording Rive,boreal forest,North America,633987.7143,1.32E+04,8.33E+01,1.78E-06,0,1.16E-06,2.94E-06
Greenhills,boreal forest,North America,3.44E+04,7.19E+02,4.52E+00,9.63E-08,0.00E+00,6.31E-08,1.59E-07
Line Creek,boreal forest,North America,1.67E+05,3.48E+03,2.19E+01,4.67E-07,0.00E+00,3.06E-07,7.72E-07
Corumbá (Mid,tropical forest,South America,1.83E+04,7.39E+02,1.07E+01,5.11E-08,0.00E+00,7.05E-07,7.57E-07
Itabira Comp,tropical forest,South America,1.95E+05,3.34E+03,6.70E+01,5.47E-07,0.00E+00,4.42E-06,4.97E-06
Mariana Comp,tropical forest,South America,8.66E+04,2.47E+03,8.22E+01,2.43E-07,0.00E+00,5.43E-06,5.67E-06
Vargem Grand,tropical forest,South America,1.12E+05,3.59E+03,5.52E+01,3.15E-07,0.00E+00,3.64E-06,3.96E-06
Paraopeba Co,tropical forest,South America,6.94E+04,3.25E+03,3.62E+01,1.94E-07,0.00E+00,2.39E-06,2.58E-06
Ferrosos Nor,tropical forest,South America,5.09E+05,1.55E+04,1.18E+02,1.42E-06,0.00E+00,7.79E-06,9.21E-06
Serra Sul - ,tropical forest,South America,1.16E+05,1.16E+04,2.45E+01,3.24E-07,0.00E+00,1.62E-06,1.94E-06
Ponta da Mad,tropical forest,South America,4.61E+05,4.16E+02,4.77E+00,1.29E-06,0.00E+00,3.15E-07,1.61E-06
Tubarão Comp,tropical forest,South America,1.52E+06,1.77E+03,4.77E+00,4.26E-06,0.00E+00,3.15E-07,4.57E-06
Onça Puma,tropical forest,South America,3.98E+05,1.80E+03,6.76E+00,1.12E-06,0.00E+00,4.46E-07,1.56E-06
Água Limpa e,tropical forest,South America,9.20E+04,2.19E+03,2.90E+01,2.58E-07,0.00E+00,1.91E-06,2.17E-06
Salobo,tropical forest,South America,2.40E+05,9.05E+03,4.22E+01,6.73E-07,0.00E+00,2.79E-06,3.46E-06
Sossego,tropical forest,South America,1.22E+05,4.10E+03,3.21E+01,3.42E-07,0.00E+00,2.12E-06,2.46E-06
Barbacena’s ,tropical forest,South America,9.85E+04,1.46E+02,4.77E+00,2.76E-07,0.00E+00,3.15E-07,5.91E-07
Ouro Preto’s,tropical forest,South America,2.72E+04,3.15E+01,4.77E+00,7.61E-08,0.00E+00,3.15E-07,3.91E-07
Simões Filho,tropical forest,South America,2.93E+04,3.15E+01,4.77E+00,8.21E-08,0.00E+00,3.15E-07,3.97E-07
Moatize Comp,warm climate grassland,Africa,8.00E+05,8.37E+03,4.82E+01,2.24E-06,2.65E-07,5.56E-07,3.06E-06
Sudbury Comp,boreal forest,North America,3.63E+05,2.46E+04,7.30E+01,1.02E-06,0.00E+00,1.02E-06,2.03E-06
Thompson Com,boreal forest,North America,2.09E+04,4.38E+02,1.86E+01,5.86E-08,0.00E+00,2.59E-07,3.18E-07
Long Harbour,boreal forest,North America,4.97E+04,3.79E+03,1.01E+01,1.39E-07,0.00E+00,1.40E-07,2.79E-07
Voisey's Bay,cool climate grassland,North America,7.34E+04,3.13E+03,4.06E+00,2.06E-07,4.04E-08,3.39E-08,2.80E-07
PT Vale Indo,tropical forest,Asia,2.16E+06,3.37E+03,8.84E+01,6.04E-06,0.00E+00,1.01E-05,1.61E-05
Vale Nouvell,tropical forest,Oceania,4.42E+05,1.66E+03,1.97E+01,1.24E-06,1.20E-07,0.00E+00,1.36E-06
Oman Operati,bare,Asia,8.66E+05,1.41E+03,4.77E+00,2.42E-06,#N/A,#N/A,#N/A
